COUNTRY,ISO3,Total,Nutrition,Health,Mental Health and Care Practices,Food Security and Livelihoods,Water Sanitation and Hygiene,Disaster Risk Management,Therapeutic Feeding Programme,Supplementary Feeding Programme,Supplementation of Pregnant & Lactating Women,Blanket distribution of RUTF / RUSF,Blanket distribution of micro-nutrient powders,Reproductive Maternal Newborn and Child Health activities,Trainings (Health),Other Health projects,Care Practices,Mental Health,Trainings (FSL),Blanket/Canteens (<5 & pregnant & lactating women),Food Aid (in-kind),Food Assistance,Income Generating Activities,Livestock - Fishery - Veterinary interventions,Agricultural - Agroforestry interventions,Unrestricted cash distribution,m3 distributed,Trainings (WASH),TFP - Adults,TFP < 5,SFP - Adults,SFP <5,Care Practices - Prevention,Care Practices - Treatment,Trainings (Care Practices)
Peru,PER,1005,545,20,20,400,0,20,0,545,0,0,0,0,20,0,0,0,20,0,400,0,400,400,400,0,0,0,0,0,0,545,0,0,20
Philippines,PHL,513074,294,8384,0,46547,457178,671,284,0,0,0,0,0,8384,0,14765,0,9409,0,17419,19023,16555,0,0,0,0,106723,57,227,0,0,0,14765,0
Senegal,SEN,68320,8657,450,10108,19264,29841,0,8657,0,0,0,0,0,450,0,20216,0,0,1812,0,19264,0,0,0,19264,0,358,0,8657,0,0,20216,0,0
Sierra Leone,SLE,285629,100518,3585,133,28068,153325,0,1393,0,0,0,0,1116,2469,0,0,0,1842,0,0,0,300,0,6137,17988,446,4445,71,1322,0,0,0,0,133
Somalia,SOM,177459,60529,36666,0,52513,27751,0,14931,0,5538,0,0,33456,3210,0,0,0,4404,0,0,42754,0,4653,290,10428,0,113,1512,13419,0,0,0,0,0
South Sudan,SSD,349498,31054,41500,15042,39634,222268,0,11714,19340,0,0,0,40933,567,0,30084,0,1961,0,13734,0,0,1456,8589,15855,185339,1960,0,11714,0,19340,15042,15042,7521
Spain,ESP,990,0,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,1334,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Syria,SYR,2005672,0,0,0,42070,1963602,0,0,0,0,0,0,0,0,0,0,0,2797,0,17295,0,0,12194,12581,0,79338,2,0,0,0,0,0,0,0
Uganda,UGA,100141,2856,27576,964,42395,26350,0,1010,1536,310,0,0,25928,1648,0,45124,0,37502,0,0,0,8125,0,906,27600,0,688,335,675,603,933,44160,964,482
Ukraine,UKR,6521,0,0,720,3029,2772,0,0,0,0,0,0,0,0,0,0,429,0,0,1126,1903,0,0,0,0,60,0,0,0,0,0,0,0,266
Yemen,YEM,270026,61857,24779,0,106445,76945,0,8425,2246,2782,0,0,24405,374,0,0,0,3118,0,54761,22230,0,5130,2324,0,261,523,0,8425,4,2242,0,0,0
Zimbabwe,ZWE,1689,474,474,0,741,0,0,0,0,0,0,0,0,474,0,0,0,776,0,0,0,0,0,270,0,0,0,0,0,0,0,0,0,0
